Frequency (Hz)	Level (dB)
43.066406	-57.200932
86.132812	-61.451122
129.199219	-61.138805
172.265625	-59.775318
215.332031	-56.999912
258.398438	-55.714981
301.464844	-59.201450
344.531250	-59.615948
387.597656	-56.844471
430.664062	-52.140614
473.730469	-48.936333
516.796875	-50.400326
559.863281	-56.454853
602.929688	-57.834370
645.996094	-54.822361
689.062500	-52.615822
732.128906	-52.651249
775.195312	-53.701347
818.261719	-49.397762
861.328125	-46.375404
904.394531	-48.316597
947.460938	-47.131554
990.527344	-44.543396
1033.593750	-44.488216
1076.660156	-48.033680
1119.726562	-46.114063
1162.792969	-44.891068
1205.859375	-44.346695
1248.925781	-42.808323
1291.992188	-45.977516
1335.058594	-50.870586
1378.125000	-53.380650
1421.191406	-52.923004
1464.257812	-52.958271
1507.324219	-56.041946
1550.390625	-57.948196
1593.457031	-54.105152
1636.523438	-54.178722
1679.589844	-57.397480
1722.656250	-59.220985
1765.722656	-59.277927
1808.789062	-58.051517
1851.855469	-58.288593
1894.921875	-58.117508
1937.988281	-58.014202
1981.054688	-57.574894
2024.121094	-58.247360
2067.187500	-59.347980
2110.253906	-60.242954
2153.320312	-63.830471
2196.386719	-63.038013
2239.453125	-63.261524
2282.519531	-61.512138
2325.585938	-63.288509
2368.652344	-63.879425
2411.718750	-65.873398
2454.785156	-63.768570
2497.851562	-64.671272
2540.917969	-63.994438
2583.984375	-66.369492
2627.050781	-70.740929
2670.117188	-72.224525
2713.183594	-71.893272
2756.250000	-69.798317
2799.316406	-71.428696
2842.382812	-73.388420
2885.449219	-70.965691
2928.515625	-71.135384
2971.582031	-71.333282
3014.648438	-70.570854
3057.714844	-67.944458
3100.781250	-67.462921
3143.847656	-68.921295
3186.914062	-66.002602
3229.980469	-63.081841
3273.046875	-63.624863
3316.113281	-63.193989
3359.179688	-60.594612
3402.246094	-62.559364
3445.312500	-61.609146
3488.378906	-62.254574
3531.445312	-66.150253
3574.511719	-65.547997
3617.578125	-68.140388
3660.644531	-69.090385
3703.710938	-69.666908
3746.777344	-69.676468
3789.843750	-68.937187
3832.910156	-67.342148
3875.976562	-67.805824
3919.042969	-68.142342
3962.109375	-68.015297
4005.175781	-70.668076
4048.242188	-71.839569
4091.308594	-72.412193
4134.375000	-71.376335
4177.441406	-71.862259
4220.507812	-74.301537
4263.574219	-74.764709
4306.640625	-72.599022
4349.707031	-70.492615
4392.773438	-70.219612
4435.839844	-73.368324
4478.906250	-71.864723
4521.972656	-70.655937
4565.039062	-68.777603
4608.105469	-67.815331
4651.171875	-71.814812
4694.238281	-70.997620
4737.304688	-69.106247
4780.371094	-69.379478
4823.437500	-68.429520
4866.503906	-66.781044
4909.570312	-67.197899
4952.636719	-65.317528
4995.703125	-67.645592
5038.769531	-70.990379
5081.835938	-70.243301
5124.902344	-69.031334
5167.968750	-68.519897
5211.035156	-69.066467
5254.101562	-67.378426
5297.167969	-66.088867
5340.234375	-68.100815
5383.300781	-69.016594
5426.367188	-70.247879
5469.433594	-73.086639
5512.500000	-70.527313
5555.566406	-67.257507
5598.632812	-67.505875
5641.699219	-70.727615
5684.765625	-71.146980
5727.832031	-70.022408
5770.898438	-71.483673
5813.964844	-70.821625
5857.031250	-73.478340
5900.097656	-74.229584
5943.164062	-73.900986
5986.230469	-72.247520
6029.296875	-71.303139
6072.363281	-71.477524
6115.429688	-74.006912
6158.496094	-72.682777
6201.562500	-71.229805
6244.628906	-71.866142
6287.695312	-74.861099
6330.761719	-77.200523
6373.828125	-76.903435
6416.894531	-76.363976
6459.960938	-74.354263
6503.027344	-73.404045
6546.093750	-76.148506
6589.160156	-76.673080
6632.226562	-75.266525
6675.292969	-75.711403
6718.359375	-77.292480
6761.425781	-77.555031
6804.492188	-76.061333
6847.558594	-76.425194
6890.625000	-75.186241
6933.691406	-74.077950
6976.757812	-74.402512
7019.824219	-75.902412
7062.890625	-75.661156
7105.957031	-73.911980
7149.023438	-74.373070
7192.089844	-74.521805
7235.156250	-74.144310
7278.222656	-72.886375
7321.289062	-71.654503
7364.355469	-73.373436
7407.421875	-76.029732
7450.488281	-74.448471
7493.554688	-74.874588
7536.621094	-75.490822
7579.687500	-74.711464
7622.753906	-75.543877
7665.820312	-78.576523
7708.886719	-76.358849
7751.953125	-74.489456
7795.019531	-74.832642
7838.085938	-77.332977
7881.152344	-77.162018
7924.218750	-74.187622
7967.285156	-72.008018
8010.351562	-72.945595
8053.417969	-77.447563
8096.484375	-79.486343
8139.550781	-75.674065
8182.617188	-74.541489
8225.683594	-76.894020
8268.750000	-79.385559
8311.816406	-79.103699
8354.882812	-78.483444
8397.949219	-79.251640
8441.015625	-77.548653
8484.082031	-78.216583
8527.148438	-83.115028
8570.214844	-82.872490
8613.281250	-80.024376
8656.347656	-79.384315
8699.414062	-80.916801
8742.480469	-84.678314
8785.546875	-81.403862
8828.613281	-81.988937
8871.679688	-85.958801
8914.746094	-87.288528
8957.812500	-85.549911
9000.878906	-84.054382
9043.945312	-85.743988
9087.011719	-84.281685
9130.078125	-83.600121
9173.144531	-82.103180
9216.210938	-80.404839
9259.277344	-83.385971
9302.343750	-85.734634
9345.410156	-86.309837
9388.476562	-86.964699
9431.542969	-83.105240
9474.609375	-80.393288
9517.675781	-81.510857
9560.742188	-83.424530
9603.808594	-81.054100
9646.875000	-81.552055
9689.941406	-80.662407
9733.007812	-79.535202
9776.074219	-81.299080
9819.140625	-83.879097
9862.207031	-81.214554
9905.273438	-80.974869
9948.339844	-81.622231
9991.406250	-84.588066
10034.472656	-84.562363
10077.539062	-82.925392
10120.605469	-82.948792
10163.671875	-82.557365
10206.738281	-83.849724
10249.804688	-87.379059
10292.871094	-84.496208
10335.937500	-83.239288
10379.003906	-84.719009
10422.070312	-85.837044
10465.136719	-88.362816
10508.203125	-89.307739
10551.269531	-86.336472
10594.335938	-87.547371
10637.402344	-89.733688
10680.468750	-89.965767
10723.535156	-88.740784
10766.601562	-90.999557
10809.667969	-91.165764
10852.734375	-92.649910
10895.800781	-95.217918
10938.867188	-92.811340
10981.933594	-90.193756
11025.000000	-90.592178
11068.066406	-92.892754
11111.132812	-91.224991
11154.199219	-90.595230
11197.265625	-90.550011
11240.332031	-89.215759
11283.398438	-88.374252
11326.464844	-88.137802
11369.531250	-87.680588
11412.597656	-87.193726
11455.664062	-87.882919
11498.730469	-88.643616
11541.796875	-88.205666
11584.863281	-87.137634
11627.929688	-86.360123
11670.996094	-87.720894
11714.062500	-91.309387
11757.128906	-91.470581
11800.195312	-89.195206
11843.261719	-89.384964
11886.328125	-89.960289
11929.394531	-88.593697
11972.460938	-89.529266
12015.527344	-87.180954
12058.593750	-86.500587
12101.660156	-86.974510
12144.726562	-89.785843
12187.792969	-91.772919
12230.859375	-90.410545
12273.925781	-88.041824
12316.992188	-87.823914
12360.058594	-91.381424
12403.125000	-92.607162
12446.191406	-88.795563
12489.257812	-89.522949
12532.324219	-93.677666
12575.390625	-94.676689
12618.457031	-91.732094
12661.523438	-91.105728
12704.589844	-91.753319
12747.656250	-92.992844
12790.722656	-94.252960
12833.789062	-92.529907
12876.855469	-90.142883
12919.921875	-91.881401
12962.988281	-93.937576
13006.054688	-94.269165
13049.121094	-92.328331
13092.187500	-89.858604
13135.253906	-90.851189
