Frequency (Hz)	Level (dB)
43.066406	-55.352463
86.132812	-64.002365
129.199219	-61.083485
172.265625	-59.717247
215.332031	-57.052296
258.398438	-55.104225
301.464844	-57.483082
344.531250	-57.322159
387.597656	-54.976593
430.664062	-51.228539
473.730469	-47.676903
516.796875	-48.166924
559.863281	-53.020805
602.929688	-53.464455
645.996094	-53.314777
689.062500	-55.071796
732.128906	-52.393303
775.195312	-50.736317
818.261719	-47.491947
861.328125	-46.511189
904.394531	-48.557724
947.460938	-48.361122
990.527344	-44.912746
1033.593750	-43.899456
1076.660156	-46.033234
1119.726562	-44.496513
1162.792969	-43.635658
1205.859375	-42.025215
1248.925781	-40.900223
1291.992188	-44.797615
1335.058594	-49.253986
1378.125000	-52.087639
1421.191406	-51.232277
1464.257812	-53.858944
1507.324219	-56.996876
1550.390625	-58.633926
1593.457031	-57.811375
1636.523438	-59.823589
1679.589844	-60.665695
1722.656250	-63.186195
1765.722656	-59.846069
1808.789062	-57.999859
1851.855469	-57.522312
1894.921875	-58.566643
1937.988281	-57.746861
1981.054688	-56.064144
2024.121094	-55.659988
2067.187500	-58.030769
2110.253906	-60.286686
2153.320312	-62.892014
2196.386719	-64.109245
2239.453125	-63.955948
2282.519531	-61.805313
2325.585938	-65.809135
2368.652344	-68.286690
2411.718750	-66.771355
2454.785156	-64.018906
2497.851562	-64.581367
2540.917969	-62.307560
2583.984375	-63.859715
2627.050781	-66.752892
2670.117188	-68.514519
2713.183594	-68.211456
2756.250000	-65.682808
2799.316406	-68.610641
2842.382812	-67.421181
2885.449219	-65.116386
2928.515625	-64.277222
2971.582031	-66.996101
3014.648438	-65.406418
3057.714844	-66.487762
3100.781250	-68.391052
3143.847656	-66.013161
3186.914062	-67.527550
3229.980469	-70.246269
3273.046875	-69.441200
3316.113281	-68.250847
3359.179688	-65.097351
3402.246094	-64.780563
3445.312500	-65.007385
3488.378906	-67.420296
3531.445312	-66.294067
3574.511719	-67.070206
3617.578125	-68.168335
3660.644531	-70.271278
3703.710938	-71.846573
3746.777344	-72.350266
3789.843750	-68.448036
3832.910156	-68.201660
3875.976562	-68.655014
3919.042969	-67.667458
3962.109375	-69.742256
4005.175781	-68.877708
4048.242188	-70.278572
4091.308594	-70.746613
4134.375000	-70.234680
4177.441406	-69.382996
4220.507812	-67.278831
4263.574219	-68.747688
4306.640625	-70.005836
4349.707031	-68.714203
4392.773438	-70.008492
4435.839844	-68.917236
4478.906250	-70.101967
4521.972656	-72.636864
4565.039062	-68.873909
4608.105469	-66.012421
4651.171875	-64.625587
4694.238281	-66.646019
4737.304688	-70.690117
4780.371094	-67.669395
4823.437500	-67.854858
4866.503906	-67.444382
4909.570312	-66.909187
4952.636719	-68.876457
4995.703125	-70.271690
5038.769531	-69.921249
5081.835938	-69.497650
5124.902344	-66.036972
5167.968750	-66.185875
5211.035156	-66.856796
5254.101562	-66.825150
5297.167969	-70.308571
5340.234375	-69.532768
5383.300781	-72.489349
5426.367188	-77.229393
5469.433594	-75.866722
5512.500000	-74.689713
5555.566406	-72.024399
5598.632812	-71.624390
5641.699219	-73.250015
5684.765625	-71.990005
5727.832031	-72.562836
5770.898438	-70.132736
5813.964844	-71.134109
5857.031250	-72.888062
5900.097656	-72.469048
5943.164062	-70.714119
5986.230469	-72.146217
6029.296875	-72.790024
6072.363281	-74.216171
6115.429688	-72.007843
6158.496094	-71.626709
6201.562500	-71.846458
6244.628906	-70.625824
6287.695312	-72.053093
6330.761719	-73.473381
6373.828125	-72.013321
