Frequency (Hz)	Level (dB)
43.066406	-60.895096
86.132812	-63.476055
129.199219	-61.997112
172.265625	-60.027298
215.332031	-57.569794
258.398438	-56.330460
301.464844	-59.201645
344.531250	-60.224258
387.597656	-57.219349
430.664062	-53.720772
473.730469	-50.722164
516.796875	-51.165558
559.863281	-53.388657
602.929688	-54.408321
645.996094	-51.969276
689.062500	-50.088528
732.128906	-49.197048
775.195312	-45.995071
818.261719	-43.019012
861.328125	-42.156696
904.394531	-44.586693
947.460938	-45.314915
990.527344	-45.195309
1033.593750	-47.748440
1076.660156	-47.830772
1119.726562	-48.161201
1162.792969	-46.184864
1205.859375	-42.725105
1248.925781	-44.338387
1291.992188	-50.258686
1335.058594	-50.286354
1378.125000	-50.245159
1421.191406	-51.627487
1464.257812	-54.985298
1507.324219	-55.499336
1550.390625	-54.632904
1593.457031	-54.719822
1636.523438	-55.294491
1679.589844	-58.050327
1722.656250	-58.458172
1765.722656	-60.009861
1808.789062	-56.933876
1851.855469	-56.595947
1894.921875	-59.163914
1937.988281	-59.192249
1981.054688	-57.730663
2024.121094	-57.269253
2067.187500	-58.405209
2110.253906	-60.533504
2153.320312	-60.870125
2196.386719	-63.102699
2239.453125	-63.909962
2282.519531	-63.796818
2325.585938	-65.314476
2368.652344	-64.319717
2411.718750	-62.326168
2454.785156	-60.159809
2497.851562	-60.858788
2540.917969	-65.984627
2583.984375	-68.775558
2627.050781	-71.087646
2670.117188	-71.166588
2713.183594	-69.499069
2756.250000	-65.995758
2799.316406	-63.634548
2842.382812	-64.234077
2885.449219	-66.410027
2928.515625	-62.631107
2971.582031	-61.590023
3014.648438	-66.000641
3057.714844	-67.664055
3100.781250	-65.811966
3143.847656	-65.763885
3186.914062	-67.907150
3229.980469	-67.884254
3273.046875	-67.162514
3316.113281	-66.936600
3359.179688	-65.352890
3402.246094	-64.107658
3445.312500	-64.554398
3488.378906	-65.616356
3531.445312	-69.411064
3574.511719	-67.496475
3617.578125	-66.134819
3660.644531	-70.739510
3703.710938	-69.471474
3746.777344	-67.422585
3789.843750	-68.085983
3832.910156	-65.843895
3875.976562	-67.709251
3919.042969	-71.011795
3962.109375	-67.009644
4005.175781	-65.417366
4048.242188	-68.360855
4091.308594	-70.486549
4134.375000	-71.057892
4177.441406	-70.088013
4220.507812	-71.566559
4263.574219	-69.612968
4306.640625	-69.015717
4349.707031	-68.770493
4392.773438	-68.082237
4435.839844	-66.326530
4478.906250	-66.685608
4521.972656	-71.531433
4565.039062	-70.262077
4608.105469	-69.706841
4651.171875	-70.158401
4694.238281	-67.679070
4737.304688	-68.495377
4780.371094	-70.572578
4823.437500	-67.238869
4866.503906	-66.547081
4909.570312	-67.621651
4952.636719	-69.333916
4995.703125	-70.732819
5038.769531	-67.234856
5081.835938	-65.461670
5124.902344	-68.212837
5167.968750	-68.094032
5211.035156	-66.806053
5254.101562	-64.431435
