Frequency (Hz)	Level (dB)
43.066406	-57.454876
86.132812	-61.111591
129.199219	-61.361595
172.265625	-60.012253
215.332031	-56.848469
258.398438	-55.275539
301.464844	-57.916164
344.531250	-59.084808
387.597656	-57.010490
430.664062	-53.244152
473.730469	-51.044849
516.796875	-50.661980
559.863281	-53.542751
602.929688	-52.934479
645.996094	-50.965641
689.062500	-50.552292
732.128906	-51.167576
775.195312	-50.675320
818.261719	-45.129311
861.328125	-44.420166
904.394531	-47.760746
947.460938	-47.151245
990.527344	-45.729656
1033.593750	-46.687977
1076.660156	-48.128231
1119.726562	-47.559265
1162.792969	-47.866398
1205.859375	-45.482994
1248.925781	-43.032253
1291.992188	-46.491669
1335.058594	-52.012276
1378.125000	-52.819805
1421.191406	-52.490982
1464.257812	-52.794395
1507.324219	-55.679958
1550.390625	-58.479435
1593.457031	-56.504768
1636.523438	-54.717457
1679.589844	-56.420055
1722.656250	-57.984783
1765.722656	-57.997807
1808.789062	-56.743000
1851.855469	-56.573288
1894.921875	-56.450592
1937.988281	-58.003498
1981.054688	-57.063522
2024.121094	-56.763020
2067.187500	-58.613087
2110.253906	-60.295570
2153.320312	-62.780659
2196.386719	-62.291477
2239.453125	-62.378979
2282.519531	-62.134926
2325.585938	-61.090225
2368.652344	-61.541904
2411.718750	-65.362686
2454.785156	-66.062248
2497.851562	-65.179489
2540.917969	-63.466717
2583.984375	-65.108749
2627.050781	-65.349922
2670.117188	-67.346481
2713.183594	-69.063950
2756.250000	-67.430176
2799.316406	-65.933159
2842.382812	-66.445160
2885.449219	-66.479263
2928.515625	-66.953018
2971.582031	-66.804184
3014.648438	-66.161171
3057.714844	-65.603592
3100.781250	-63.681614
3143.847656	-65.887726
3186.914062	-61.612392
3229.980469	-59.940701
3273.046875	-61.844425
3316.113281	-63.641407
3359.179688	-62.083122
3402.246094	-64.240059
3445.312500	-63.361572
3488.378906	-63.720455
3531.445312	-66.641876
3574.511719	-67.890259
3617.578125	-70.377197
3660.644531	-68.545815
3703.710938	-70.013641
3746.777344	-73.492340
3789.843750	-69.881073
3832.910156	-69.274437
3875.976562	-70.199356
3919.042969	-70.093910
3962.109375	-71.791405
4005.175781	-68.705750
4048.242188	-67.583954
4091.308594	-68.142746
4134.375000	-69.022079
4177.441406	-68.378532
4220.507812	-65.421906
4263.574219	-66.729263
4306.640625	-66.616226
4349.707031	-67.883675
4392.773438	-68.337975
4435.839844	-66.018311
4478.906250	-66.683426
4521.972656	-68.016945
4565.039062	-67.084305
4608.105469	-66.556374
4651.171875	-63.400841
4694.238281	-61.908184
4737.304688	-64.321877
4780.371094	-65.480568
4823.437500	-64.685432
4866.503906	-64.576553
4909.570312	-65.830048
4952.636719	-65.980255
4995.703125	-65.302422
5038.769531	-66.579872
5081.835938	-67.468971
5124.902344	-65.846840
5167.968750	-65.327866
5211.035156	-66.639702
5254.101562	-65.937492
5297.167969	-67.439644
5340.234375	-68.791931
5383.300781	-68.168678
5426.367188	-71.063187
5469.433594	-72.548477
5512.500000	-72.881836
5555.566406	-69.949142
5598.632812	-70.809059
5641.699219	-72.453773
5684.765625	-72.343773
5727.832031	-70.837746
5770.898438	-71.691032
5813.964844	-71.634933
5857.031250	-73.336082
5900.097656	-74.300110
5943.164062	-72.719849
5986.230469	-72.160187
6029.296875	-72.394470
6072.363281	-76.315468
6115.429688	-72.577484
6158.496094	-70.337944
6201.562500	-70.225029
6244.628906	-71.229752
