Frequency (Hz)	Level (dB)
43.066406	-62.776375
86.132812	-67.636292
129.199219	-61.162258
172.265625	-59.611153
215.332031	-56.848732
258.398438	-55.979103
301.464844	-59.943398
344.531250	-60.518921
387.597656	-58.052128
430.664062	-53.203789
473.730469	-49.630505
516.796875	-51.093937
559.863281	-56.535793
602.929688	-57.866127
645.996094	-52.749390
689.062500	-50.486214
732.128906	-51.785473
775.195312	-52.323612
818.261719	-48.360008
861.328125	-45.540611
904.394531	-47.736626
947.460938	-47.746937
990.527344	-45.889408
1033.593750	-47.250954
1076.660156	-49.182663
1119.726562	-46.071072
1162.792969	-44.913574
1205.859375	-45.012962
1248.925781	-43.301640
1291.992188	-45.990795
1335.058594	-50.401226
1378.125000	-53.288559
1421.191406	-52.772823
1464.257812	-51.755466
1507.324219	-54.729187
1550.390625	-57.090683
1593.457031	-53.669231
1636.523438	-53.012306
1679.589844	-55.636135
1722.656250	-57.149120
1765.722656	-59.335896
1808.789062	-57.437531
1851.855469	-57.457233
1894.921875	-56.903423
1937.988281	-58.125168
1981.054688	-58.372761
2024.121094	-58.575054
2067.187500	-59.479065
2110.253906	-60.767628
2153.320312	-64.829803
2196.386719	-63.291565
2239.453125	-64.364571
2282.519531	-63.389797
2325.585938	-63.063793
2368.652344	-63.383049
2411.718750	-66.275360
2454.785156	-66.150467
2497.851562	-65.546288
2540.917969	-64.997025
2583.984375	-67.872849
2627.050781	-69.816437
2670.117188	-70.644875
2713.183594	-70.330551
2756.250000	-68.971970
2799.316406	-68.751778
2842.382812	-66.814102
2885.449219	-66.534309
2928.515625	-68.037354
2971.582031	-66.471748
3014.648438	-65.887077
3057.714844	-63.941563
3100.781250	-62.042789
3143.847656	-65.331757
3186.914062	-64.284744
3229.980469	-62.884346
3273.046875	-64.801453
3316.113281	-64.925537
3359.179688	-60.714104
3402.246094	-62.039944
3445.312500	-60.845860
3488.378906	-60.711243
3531.445312	-62.769707
3574.511719	-64.063072
3617.578125	-67.868591
3660.644531	-69.595070
3703.710938	-70.141365
3746.777344	-69.475349
3789.843750	-69.089432
3832.910156	-73.179184
3875.976562	-70.685944
3919.042969	-70.073364
3962.109375	-68.747345
4005.175781	-68.238815
4048.242188	-69.978218
4091.308594	-70.046722
4134.375000	-67.870796
4177.441406	-69.021309
4220.507812	-68.197853
4263.574219	-69.743744
4306.640625	-71.067505
4349.707031	-72.424042
4392.773438	-68.659767
4435.839844	-64.856743
4478.906250	-64.375473
4521.972656	-67.538765
4565.039062	-66.937859
4608.105469	-66.644379
4651.171875	-64.456627
4694.238281	-63.466755
4737.304688	-64.860443
4780.371094	-66.124710
4823.437500	-64.855949
4866.503906	-64.607269
4909.570312	-64.355896
4952.636719	-63.548092
4995.703125	-64.238869
5038.769531	-64.885101
5081.835938	-64.792160
5124.902344	-64.006340
5167.968750	-63.595573
5211.035156	-65.880814
5254.101562	-65.745438
5297.167969	-65.972458
5340.234375	-67.978798
5383.300781	-66.106178
5426.367188	-69.558823
5469.433594	-73.544647
5512.500000	-72.107262
5555.566406	-69.179314
5598.632812	-69.772736
5641.699219	-71.451576
5684.765625	-74.252403
5727.832031	-74.140945
5770.898438	-72.692856
5813.964844	-72.156708
5857.031250	-73.782097
5900.097656	-76.049652
5943.164062	-75.142128
5986.230469	-74.180008
6029.296875	-71.976166
6072.363281	-74.192642
6115.429688	-70.154205
6158.496094	-69.390656
6201.562500	-71.305908
6244.628906	-71.973152
6287.695312	-75.579834
6330.761719	-74.823761
6373.828125	-72.424782
6416.894531	-71.242676
6459.960938	-72.164116
6503.027344	-75.685722
6546.093750	-77.783020
6589.160156	-74.168907
6632.226562	-73.330826
6675.292969	-73.296181
6718.359375	-74.770546
6761.425781	-74.898582
6804.492188	-73.584229
6847.558594	-73.276123
6890.625000	-73.458954
6933.691406	-72.330147
6976.757812	-72.926430
7019.824219	-72.883064
7062.890625	-71.165436
7105.957031	-72.480141
7149.023438	-74.562256
7192.089844	-77.583618
7235.156250	-75.127472
7278.222656	-73.492912
7321.289062	-74.741806
7364.355469	-75.191795
7407.421875	-75.811714
7450.488281	-74.092087
7493.554688	-73.438782
7536.621094	-74.910446
7579.687500	-76.454033
7622.753906	-76.197525
7665.820312	-76.721619
7708.886719	-77.469460
7751.953125	-76.177620
7795.019531	-74.380081
7838.085938	-75.878426
7881.152344	-76.712837
7924.218750	-75.884644
7967.285156	-75.723289
8010.351562	-76.737946
8053.417969	-75.373764
8096.484375	-74.082130
8139.550781	-74.408051
8182.617188	-74.881523
8225.683594	-75.529129
8268.750000	-75.801186
8311.816406	-75.599243
8354.882812	-74.651840
8397.949219	-76.478531
8441.015625	-77.512733
8484.082031	-76.084839
8527.148438	-78.396774
8570.214844	-77.320976
8613.281250	-75.256973
8656.347656	-75.394867
8699.414062	-80.064056
8742.480469	-80.255882
8785.546875	-78.127983
8828.613281	-77.089684
8871.679688	-78.407227
8914.746094	-81.356400
8957.812500	-81.456329
9000.878906	-79.895294
9043.945312	-80.299522
9087.011719	-81.900566
9130.078125	-83.969765
9173.144531	-83.645973
9216.210938	-82.746147
9259.277344	-80.122810
9302.343750	-81.564247
9345.410156	-84.718216
9388.476562	-83.540443
9431.542969	-81.304390
9474.609375	-83.780281
9517.675781	-85.597359
9560.742188	-85.707970
9603.808594	-82.869965
9646.875000	-82.746498
9689.941406	-84.019135
9733.007812	-84.692810
9776.074219	-86.201012
9819.140625	-84.419807
9862.207031	-82.615265
9905.273438	-81.848038
9948.339844	-84.771080
9991.406250	-84.899178
10034.472656	-81.835495
10077.539062	-82.065964
10120.605469	-83.790039
10163.671875	-82.343239
10206.738281	-83.059250
10249.804688	-85.118530
10292.871094	-82.658409
10335.937500	-82.203110
10379.003906	-83.099464
10422.070312	-85.870285
10465.136719	-87.674454
10508.203125	-83.928734
10551.269531	-82.645752
10594.335938	-84.804901
10637.402344	-87.077576
10680.468750	-88.359695
10723.535156	-85.567055
10766.601562	-84.772217
10809.667969	-87.700920
10852.734375	-89.737030
10895.800781	-88.816292
10938.867188	-86.992683
10981.933594	-88.501457
11025.000000	-91.853622
11068.066406	-91.760948
11111.132812	-89.869049
11154.199219	-85.207428
11197.265625	-83.704117
11240.332031	-87.734901
11283.398438	-88.324272
11326.464844	-86.899147
11369.531250	-85.096397
11412.597656	-86.176590
11455.664062	-89.493477
11498.730469	-89.885513
11541.796875	-87.270630
11584.863281	-85.531242
11627.929688	-87.080627
11670.996094	-89.381805
11714.062500	-88.942551
11757.128906	-86.694710
11800.195312	-85.722458
11843.261719	-86.139534
11886.328125	-88.493752
11929.394531	-88.661919
11972.460938	-87.872108
12015.527344	-88.525414
12058.593750	-89.550667
12101.660156	-89.261162
12144.726562	-90.696678
12187.792969	-90.136810
12230.859375	-88.150589
12273.925781	-90.264847
12316.992188	-91.109123
12360.058594	-91.905907
12403.125000	-91.845322
12446.191406	-90.850868
12489.257812	-91.608192
12532.324219	-92.403267
12575.390625	-95.140282
12618.457031	-92.607246
12661.523438	-92.266174
12704.589844	-93.410362
12747.656250	-94.274574
12790.722656	-91.359001
12833.789062	-90.601440
12876.855469	-90.543678
12919.921875	-91.293037
12962.988281	-90.174950
13006.054688	-88.772202
13049.121094	-89.430916
13092.187500	-89.459030
13135.253906	-88.008728
13178.320312	-89.050369
13221.386719	-89.644211
13264.453125	-88.259476
13307.519531	-87.790916
13350.585938	-89.305656
13393.652344	-89.726700
13436.718750	-89.845161
13479.785156	-89.655121
13522.851562	-89.398117
13565.917969	-89.395622
13608.984375	-89.878471
13652.050781	-90.387337
13695.117188	-89.569008
13738.183594	-90.634209
13781.250000	-91.650200
13824.316406	-90.846794
13867.382812	-90.842346
13910.449219	-91.035553
13953.515625	-90.254082
13996.582031	-90.401848
14039.648438	-92.701027
14082.714844	-93.431648
14125.781250	-91.683334
14168.847656	-92.078903
14211.914062	-94.029007
14254.980469	-94.994408
14298.046875	-95.908257
14341.113281	-94.551704
14384.179688	-95.480934
14427.246094	-95.663521
14470.312500	-96.860779
14513.378906	-96.646660
14556.445312	-97.538567
14599.511719	-96.052193
14642.578125	-94.779419
14685.644531	-97.063431
14728.710938	-98.090469
14771.777344	-95.808098
14814.843750	-95.447563
14857.910156	-96.246696
14900.976562	-98.111679
14944.042969	-97.226051
14987.109375	-97.187675
15030.175781	-97.469933
15073.242188	-97.188400
15116.308594	-96.752640
15159.375000	-97.740509
15202.441406	-98.154259
15245.507812	-96.947525
15288.574219	-97.489174
15331.640625	-99.157707
15374.707031	-97.974274
15417.773438	-96.455246
15460.839844	-96.657082
15503.906250	-98.637398
15546.972656	-98.379875
15590.039062	-97.013138
15633.105469	-97.389046
15676.171875	-98.885994
15719.238281	-99.441849
15762.304688	-99.195747
15805.371094	-99.238869
15848.437500	-99.056427
15891.503906	-98.816475
15934.570312	-99.753983
15977.636719	-100.255646
16020.703125	-100.911667
16063.769531	-100.288994
16106.835938	-99.687523
16149.902344	-101.191246
16192.968750	-102.467842
16236.035156	-100.859825
16279.101562	-100.208870
16322.167969	-101.401817
16365.234375	-101.465942
16408.300781	-100.751617
16451.367188	-101.025490
16494.433594	-101.271065
16537.500000	-100.981735
16580.566406	-100.665176
16623.632812	-101.089058
16666.699219	-101.912125
16709.765625	-101.007782
16752.832031	-100.059792
16795.898438	-101.288383
16838.964844	-102.079628
16882.031250	-101.277626
16925.097656	-101.031837
16968.164062	-102.209465
17011.230469	-102.038269
17054.296875	-101.603012
17097.363281	-102.397072
17140.429688	-103.120949
17183.496094	-102.351768
17226.562500	-102.296875
17269.628906	-102.923485
17312.695312	-103.013443
17355.761719	-102.555046
17398.828125	-102.428757
17441.894531	-102.913330
17484.960938	-103.295349
17528.027344	-102.872849
17571.093750	-102.414848
17614.160156	-103.227135
17657.226562	-103.944107
17700.292969	-103.433037
17743.359375	-103.447517
