Frequency (Hz)	Level (dB)
43.066406	-58.420322
86.132812	-65.393898
129.199219	-60.840870
172.265625	-59.372971
215.332031	-56.805538
258.398438	-56.299820
301.464844	-60.426594
344.531250	-61.032562
387.597656	-58.793324
430.664062	-54.083832
473.730469	-50.592052
516.796875	-51.571724
559.863281	-55.566833
602.929688	-57.282852
645.996094	-52.011337
689.062500	-49.836266
732.128906	-51.781925
775.195312	-52.122032
818.261719	-47.142384
861.328125	-45.071449
904.394531	-48.460659
947.460938	-47.276283
990.527344	-46.400887
1033.593750	-48.889362
1076.660156	-49.646072
1119.726562	-45.723251
1162.792969	-44.487747
1205.859375	-45.439804
1248.925781	-43.926834
1291.992188	-46.270069
1335.058594	-49.579952
1378.125000	-51.802311
1421.191406	-52.548569
1464.257812	-51.269737
1507.324219	-54.713459
1550.390625	-57.665985
1593.457031	-55.276871
1636.523438	-54.378956
1679.589844	-56.753639
1722.656250	-58.389214
1765.722656	-59.078491
1808.789062	-55.887264
1851.855469	-56.094746
1894.921875	-56.186836
1937.988281	-57.400787
1981.054688	-58.195599
2024.121094	-57.006618
2067.187500	-60.035110
2110.253906	-62.597099
2153.320312	-65.770844
2196.386719	-64.856865
2239.453125	-63.883308
2282.519531	-62.685070
2325.585938	-64.216156
2368.652344	-65.597214
2411.718750	-66.756233
2454.785156	-65.856010
2497.851562	-66.236664
2540.917969	-65.584740
2583.984375	-68.234116
2627.050781	-66.982368
2670.117188	-68.518188
2713.183594	-70.242500
2756.250000	-69.265984
2799.316406	-69.169434
2842.382812	-65.937294
2885.449219	-65.539474
2928.515625	-68.123161
2971.582031	-66.312294
3014.648438	-64.965691
3057.714844	-62.918591
3100.781250	-61.098972
3143.847656	-63.865757
3186.914062	-62.721523
3229.980469	-61.791470
3273.046875	-63.490540
3316.113281	-65.596153
3359.179688	-63.932583
3402.246094	-64.363411
3445.312500	-62.726593
3488.378906	-61.984570
3531.445312	-64.589485
3574.511719	-67.627029
3617.578125	-69.013718
3660.644531	-68.966507
3703.710938	-70.601746
3746.777344	-72.156670
3789.843750	-70.299522
3832.910156	-72.278351
3875.976562	-73.193329
3919.042969	-71.601562
3962.109375	-69.647484
4005.175781	-66.931534
4048.242188	-67.008751
4091.308594	-67.646919
4134.375000	-67.247009
4177.441406	-67.694901
4220.507812	-63.904182
4263.574219	-65.172493
4306.640625	-68.814476
4349.707031	-69.777267
4392.773438	-68.275826
4435.839844	-65.091133
4478.906250	-64.268661
4521.972656	-66.580284
4565.039062	-66.987846
4608.105469	-66.376945
4651.171875	-63.862297
4694.238281	-62.649727
4737.304688	-64.350555
4780.371094	-65.195152
4823.437500	-63.850227
4866.503906	-65.056007
4909.570312	-66.798187
4952.636719	-67.024658
4995.703125	-67.409492
5038.769531	-66.603325
5081.835938	-68.032951
5124.902344	-66.164711
5167.968750	-65.008064
5211.035156	-66.472260
5254.101562	-66.214348
5297.167969	-67.672546
5340.234375	-69.563324
5383.300781	-67.160362
5426.367188	-69.874359
5469.433594	-71.964424
5512.500000	-72.297302
5555.566406	-70.520660
5598.632812	-69.085419
5641.699219	-70.494934
5684.765625	-72.156853
5727.832031	-70.885933
5770.898438	-70.012474
5813.964844	-71.134819
5857.031250	-73.910454
5900.097656	-72.481979
5943.164062	-70.799919
5986.230469	-72.300148
6029.296875	-71.255959
6072.363281	-73.518166
6115.429688	-72.506104
6158.496094	-70.857918
6201.562500	-71.569672
6244.628906	-72.393738
6287.695312	-75.063072
6330.761719	-73.913467
6373.828125	-73.695480
6416.894531	-72.680000
6459.960938	-70.630363
6503.027344	-73.468117
6546.093750	-76.082436
6589.160156	-72.401466
6632.226562	-72.260368
6675.292969	-74.523773
6718.359375	-75.817421
6761.425781	-77.706497
6804.492188	-77.444031
6847.558594	-75.266388
6890.625000	-76.972488
6933.691406	-78.195618
6976.757812	-75.631050
7019.824219	-74.302521
7062.890625	-75.386505
7105.957031	-76.224091
7149.023438	-75.421509
7192.089844	-75.318115
7235.156250	-73.296379
7278.222656	-73.747604
7321.289062	-72.708878
7364.355469	-73.447731
7407.421875	-73.316002
7450.488281	-72.604591
7493.554688	-71.670250
7536.621094	-72.205208
7579.687500	-71.982414
7622.753906	-72.495392
7665.820312	-74.114708
7708.886719	-72.537872
7751.953125	-72.281036
7795.019531	-71.808304
7838.085938	-72.032570
7881.152344	-73.897240
7924.218750	-72.614281
7967.285156	-72.646461
8010.351562	-73.626183
8053.417969	-74.317795
8096.484375	-76.029404
8139.550781	-75.549530
8182.617188	-73.952499
8225.683594	-76.131020
8268.750000	-76.523705
8311.816406	-76.034698
8354.882812	-76.489182
8397.949219	-76.508766
8441.015625	-77.107300
8484.082031	-77.711281
8527.148438	-79.483894
8570.214844	-77.145454
8613.281250	-77.587234
8656.347656	-79.927162
8699.414062	-80.353233
8742.480469	-81.852425
8785.546875	-80.343033
8828.613281	-79.161713
8871.679688	-81.896187
8914.746094	-83.254700
8957.812500	-78.923317
9000.878906	-77.957619
9043.945312	-81.309929
9087.011719	-83.324471
9130.078125	-83.535065
9173.144531	-82.602226
9216.210938	-81.012863
9259.277344	-79.542183
9302.343750	-79.203682
9345.410156	-83.095886
9388.476562	-82.701363
9431.542969	-79.514679
9474.609375	-78.939545
9517.675781	-80.161987
9560.742188	-82.549767
9603.808594	-80.982872
9646.875000	-79.223114
9689.941406	-81.296280
9733.007812	-81.682755
9776.074219	-82.866295
9819.140625	-82.713036
9862.207031	-80.903305
9905.273438	-82.256363
9948.339844	-83.274994
9991.406250	-84.807846
10034.472656	-85.239571
10077.539062	-85.334015
10120.605469	-85.932396
10163.671875	-86.863716
10206.738281	-86.852165
10249.804688	-88.601357
10292.871094	-87.306595
10335.937500	-86.506798
10379.003906	-88.141243
10422.070312	-90.195541
10465.136719	-89.046646
10508.203125	-87.258064
