Frequency (Hz)	Level (dB)
11541.796875	-91.063637
11584.863281	-89.595421
11627.929688	-88.318527
11670.996094	-90.205353
11714.062500	-94.189590
11757.128906	-92.751442
11800.195312	-90.884178
11843.261719	-90.816956
11886.328125	-91.670021
11929.394531	-91.360901
11972.460938	-89.876030
12015.527344	-88.753700
12058.593750	-89.716164
12101.660156	-91.470779
12144.726562	-90.866180
12187.792969	-88.958237
12230.859375	-88.173744
12273.925781	-88.694260
12316.992188	-91.466202
12360.058594	-90.092751
12403.125000	-88.575119
12446.191406	-89.369659
12489.257812	-89.821419
12532.324219	-89.815536
12575.390625	-89.505501
12618.457031	-88.570290
12661.523438	-86.940666
12704.589844	-88.436317
12747.656250	-91.071671
12790.722656	-89.771614
12833.789062	-89.079567
12876.855469	-90.904282
12919.921875	-93.205788
12962.988281	-93.016594
13006.054688	-92.971977
13049.121094	-91.859489
13092.187500	-90.059570
13135.253906	-91.601128
13178.320312	-92.834030
13221.386719	-92.535324
13264.453125	-90.908058
13307.519531	-90.610901
13350.585938	-91.386261
13393.652344	-92.000786
13436.718750	-91.796661
13479.785156	-89.256027
13522.851562	-90.717918
13565.917969	-92.820755
13608.984375	-91.187347
13652.050781	-92.240402
13695.117188	-92.724953
13738.183594	-91.011650
13781.250000	-90.542313
13824.316406	-91.335213
13867.382812	-92.815170
13910.449219	-93.330368
13953.515625	-91.097733
13996.582031	-90.980797
14039.648438	-92.993179
14082.714844	-94.282677
14125.781250	-92.420166
14168.847656	-91.992279
14211.914062	-92.842407
14254.980469	-93.903366
14298.046875	-94.385788
14341.113281	-94.421097
14384.179688	-93.466919
14427.246094	-93.663887
14470.312500	-93.809792
14513.378906	-94.930237
14556.445312	-95.101173
14599.511719	-95.034004
14642.578125	-94.943146
14685.644531	-95.012230
14728.710938	-96.438339
14771.777344	-95.004837
14814.843750	-95.500076
14857.910156	-96.649857
14900.976562	-98.836411
14944.042969	-97.177498
14987.109375	-96.437843
15030.175781	-97.876160
15073.242188	-97.886406
15116.308594	-97.950829
15159.375000	-100.306847
15202.441406	-99.344261
15245.507812	-97.438309
15288.574219	-98.556862
15331.640625	-100.351814
15374.707031	-99.695938
15417.773438	-98.803146
15460.839844	-99.163246
15503.906250	-99.457664
15546.972656	-101.118462
15590.039062	-100.898277
15633.105469	-100.285744
15676.171875	-100.685478
15719.238281	-100.339249
15762.304688	-100.035965
15805.371094	-101.578003
15848.437500	-100.752541
15891.503906	-98.581802
15934.570312	-98.567238
15977.636719	-100.782524
16020.703125	-100.237579
16063.769531	-99.072449
16106.835938	-99.470772
16149.902344	-99.931458
16192.968750	-100.392899
16236.035156	-100.341942
16279.101562	-100.104233
16322.167969	-99.785721
16365.234375	-100.596771
16408.300781	-100.202705
16451.367188	-101.365204
16494.433594	-101.807678
16537.500000	-101.293343
16580.566406	-101.079285
16623.632812	-101.793648
16666.699219	-102.211838
16709.765625	-101.291107
16752.832031	-101.073318
16795.898438	-102.169525
16838.964844	-102.429077
16882.031250	-101.372131
16925.097656	-102.361649
16968.164062	-102.922287
17011.230469	-102.644180
17054.296875	-102.898605
17097.363281	-103.996681
17140.429688	-104.329895
17183.496094	-104.116249
17226.562500	-104.038834
17269.628906	-104.393105
17312.695312	-104.647400
17355.761719	-104.120674
17398.828125	-104.232994
17441.894531	-104.556824
17484.960938	-103.968109
17528.027344	-103.536072
17571.093750	-104.017189
17614.160156	-104.154373
17657.226562	-103.932213
17700.292969	-103.949715
17743.359375	-104.105385
17786.425781	-104.179520
17829.492188	-103.860497
17872.558594	-104.071976
17915.625000	-103.841423
17958.691406	-104.279861
18001.757812	-104.035599
18044.824219	-104.090553
18087.890625	-104.531349
18130.957031	-104.794624
18174.023438	-104.608971
18217.089844	-104.719032
18260.156250	-104.718040
18303.222656	-104.607361
18346.289062	-104.632942
18389.355469	-105.015961
18432.421875	-105.104095
18475.488281	-104.812134
18518.554688	-104.710037
18561.621094	-104.773308
18604.687500	-105.022827
18647.753906	-104.966545
18690.820312	-104.705269
18733.886719	-105.027176
18776.953125	-105.352936
18820.019531	-105.237526
18863.085938	-105.192070
18906.152344	-105.334610
18949.218750	-105.591408
18992.285156	-105.409309
19035.351562	-105.404739
19078.417969	-105.547478
19121.484375	-105.628845
19164.550781	-105.544624
19207.617188	-105.543739
19250.683594	-105.538734
19293.750000	-105.565941
19336.816406	-105.628555
19379.882812	-105.452209
19422.949219	-105.370857
19466.015625	-105.511688
19509.082031	-105.681915
19552.148438	-105.653664
19595.214844	-105.700073
19638.281250	-105.726166
19681.347656	-105.765778
19724.414062	-104.537514
19767.480469	-103.405647
