Frequency (Hz)	Level (dB)
43.066406	-59.610279
86.132812	-62.827641
129.199219	-61.920868
172.265625	-60.266403
215.332031	-57.616646
258.398438	-55.695465
301.464844	-58.239510
344.531250	-59.274345
387.597656	-55.986012
430.664062	-52.892612
473.730469	-49.946987
516.796875	-50.686749
559.863281	-52.639763
602.929688	-53.530590
645.996094	-51.379089
689.062500	-50.171413
732.128906	-49.984352
775.195312	-46.588882
818.261719	-43.790264
861.328125	-42.678040
904.394531	-44.605583
947.460938	-44.293484
990.527344	-42.780659
1033.593750	-44.629944
1076.660156	-47.441444
1119.726562	-47.561195
1162.792969	-44.524166
1205.859375	-41.664387
1248.925781	-44.187763
1291.992188	-51.143959
1335.058594	-51.520958
1378.125000	-49.619617
1421.191406	-50.725941
1464.257812	-55.441376
1507.324219	-55.293716
1550.390625	-54.796501
1593.457031	-55.782909
1636.523438	-55.916306
1679.589844	-58.355358
1722.656250	-58.048908
1765.722656	-59.483055
1808.789062	-56.833416
1851.855469	-55.366699
1894.921875	-56.848068
1937.988281	-57.847561
1981.054688	-58.286667
2024.121094	-58.200741
2067.187500	-57.759228
2110.253906	-58.657036
2153.320312	-59.775417
2196.386719	-61.021584
2239.453125	-60.378319
2282.519531	-61.825245
2325.585938	-65.419601
2368.652344	-65.581726
2411.718750	-63.749264
2454.785156	-62.242092
2497.851562	-63.821144
2540.917969	-66.839851
2583.984375	-69.100090
2627.050781	-69.479622
2670.117188	-68.763298
2713.183594	-66.116341
2756.250000	-64.393623
2799.316406	-65.220863
2842.382812	-65.844398
2885.449219	-68.232819
2928.515625	-64.205032
2971.582031	-62.612507
3014.648438	-64.892464
3057.714844	-65.795212
3100.781250	-63.758808
3143.847656	-63.269043
3186.914062	-64.853943
3229.980469	-61.446095
3273.046875	-62.059177
3316.113281	-65.839508
3359.179688	-63.625999
3402.246094	-60.857113
3445.312500	-62.048767
3488.378906	-63.758736
3531.445312	-67.043060
3574.511719	-68.751389
3617.578125	-67.921692
3660.644531	-67.617668
3703.710938	-66.473701
3746.777344	-69.662422
3789.843750	-70.159950
3832.910156	-69.143433
3875.976562	-70.671638
3919.042969	-71.908737
3962.109375	-70.084007
4005.175781	-68.903992
4048.242188	-69.974907
4091.308594	-72.742424
4134.375000	-69.962074
4177.441406	-66.686821
4220.507812	-66.611885
4263.574219	-68.236053
4306.640625	-68.251923
4349.707031	-68.427422
4392.773438	-69.821770
4435.839844	-69.742477
4478.906250	-71.237167
4521.972656	-70.710625
4565.039062	-64.766357
4608.105469	-63.575443
4651.171875	-66.932220
4694.238281	-65.123192
4737.304688	-66.497490
4780.371094	-67.807816
4823.437500	-65.620949
4866.503906	-64.052467
4909.570312	-66.124466
4952.636719	-67.797371
4995.703125	-67.766983
5038.769531	-69.691887
5081.835938	-69.032341
5124.902344	-69.464027
5167.968750	-69.664886
5211.035156	-70.404129
5254.101562	-71.399887
5297.167969	-71.586899
5340.234375	-74.706192
5383.300781	-75.161415
5426.367188	-70.597054
5469.433594	-68.961327
5512.500000	-70.343964
5555.566406	-70.508492
5598.632812	-69.246559
5641.699219	-68.816299
5684.765625	-68.417969
5727.832031	-68.734268
5770.898438	-71.321327
5813.964844	-71.701859
5857.031250	-71.756569
5900.097656	-71.512871
5943.164062	-70.678947
5986.230469	-72.338737
6029.296875	-71.809952
6072.363281	-68.531372
6115.429688	-68.007797
6158.496094	-71.097466
6201.562500	-74.066994
6244.628906	-73.456863
6287.695312	-72.281349
6330.761719	-71.205460
6373.828125	-71.588692
6416.894531	-75.071823
6459.960938	-75.387192
6503.027344	-73.541130
6546.093750	-72.997177
6589.160156	-71.742622
