Frequency (Hz)	Level (dB)
43.066406	-59.602589
86.132812	-63.161888
129.199219	-61.984234
172.265625	-60.376537
215.332031	-57.745605
258.398438	-55.255150
301.464844	-57.350346
344.531250	-58.571144
387.597656	-55.039555
430.664062	-52.175728
473.730469	-49.201225
516.796875	-50.014553
559.863281	-52.387676
602.929688	-52.631435
645.996094	-50.782509
689.062500	-51.081688
732.128906	-51.032410
775.195312	-47.860157
818.261719	-44.355659
861.328125	-43.774067
904.394531	-45.413231
947.460938	-45.082336
990.527344	-42.925968
1033.593750	-42.980206
1076.660156	-45.265411
1119.726562	-45.526237
1162.792969	-42.882828
1205.859375	-40.513573
1248.925781	-42.777103
1291.992188	-48.431328
1335.058594	-52.098469
1378.125000	-50.096771
1421.191406	-50.987217
1464.257812	-55.520668
1507.324219	-54.258724
1550.390625	-54.242649
1593.457031	-56.534115
1636.523438	-56.876770
1679.589844	-58.529694
1722.656250	-58.311615
1765.722656	-59.833378
1808.789062	-57.110104
1851.855469	-54.845901
1894.921875	-55.064789
1937.988281	-57.021587
1981.054688	-57.804989
2024.121094	-58.484608
2067.187500	-57.497738
2110.253906	-57.417225
2153.320312	-59.036850
2196.386719	-60.189487
2239.453125	-59.044724
2282.519531	-60.682663
2325.585938	-64.690666
2368.652344	-63.907703
2411.718750	-64.262444
2454.785156	-64.276398
2497.851562	-63.882599
2540.917969	-65.417519
2583.984375	-67.645554
2627.050781	-67.502632
2670.117188	-67.526360
2713.183594	-66.179504
2756.250000	-66.625435
2799.316406	-69.028076
2842.382812	-69.074516
2885.449219	-68.327744
2928.515625	-65.279472
2971.582031	-64.498268
3014.648438	-65.136993
3057.714844	-65.161690
3100.781250	-62.806934
3143.847656	-62.658340
3186.914062	-64.096245
3229.980469	-60.638493
3273.046875	-61.238289
3316.113281	-64.451088
3359.179688	-62.549686
3402.246094	-59.522217
3445.312500	-62.333939
3488.378906	-64.528610
3531.445312	-64.604416
3574.511719	-63.982380
3617.578125	-65.099213
3660.644531	-65.323921
3703.710938	-66.321442
3746.777344	-71.104980
3789.843750	-71.198502
3832.910156	-68.758629
3875.976562	-68.448120
3919.042969	-70.229935
3962.109375	-72.581070
4005.175781	-70.829201
4048.242188	-70.438438
4091.308594	-71.141487
4134.375000	-70.620956
4177.441406	-68.705223
4220.507812	-66.572029
4263.574219	-68.692039
4306.640625	-68.480621
4349.707031	-69.755013
4392.773438	-70.241020
4435.839844	-71.822189
4478.906250	-72.368401
4521.972656	-70.284790
4565.039062	-66.500870
4608.105469	-65.693932
4651.171875	-67.961639
4694.238281	-68.417435
4737.304688	-70.724945
4780.371094	-68.769989
4823.437500	-66.368538
4866.503906	-66.536064
4909.570312	-67.758286
4952.636719	-66.083344
4995.703125	-65.706673
5038.769531	-65.401619
5081.835938	-64.785782
5124.902344	-68.031654
5167.968750	-68.118614
5211.035156	-66.657776
5254.101562	-66.963013
5297.167969	-68.129288
5340.234375	-68.141586
5383.300781	-69.205597
5426.367188	-69.482010
5469.433594	-69.907623
5512.500000	-70.608162
5555.566406	-71.563950
5598.632812	-71.101990
5641.699219	-72.173012
5684.765625	-70.308922
5727.832031	-70.544479
5770.898438	-72.969139
5813.964844	-73.437447
5857.031250	-73.829384
5900.097656	-72.002129
5943.164062	-71.318909
5986.230469	-71.685287
6029.296875	-72.115570
6072.363281	-71.865784
6115.429688	-70.833321
6158.496094	-71.882607
6201.562500	-76.308617
6244.628906	-73.200066
6287.695312	-71.312233
6330.761719	-71.934067
6373.828125	-72.526993
6416.894531	-72.843315
6459.960938	-72.965645
6503.027344	-72.700104
6546.093750	-71.309547
6589.160156	-71.038246
6632.226562	-72.660042
6675.292969	-72.818253
6718.359375	-70.907463
6761.425781	-70.577141
6804.492188	-72.499657
6847.558594	-71.341789
6890.625000	-70.963341
6933.691406	-70.420746
6976.757812	-69.527420
7019.824219	-69.895477
7062.890625	-71.342590
7105.957031	-72.623184
7149.023438	-73.377930
7192.089844	-71.078369
7235.156250	-71.251938
7278.222656	-75.870033
7321.289062	-76.686485
7364.355469	-73.277344
7407.421875	-74.893112
7450.488281	-76.238937
7493.554688	-75.572731
7536.621094	-76.602692
7579.687500	-76.493095
7622.753906	-76.395447
7665.820312	-76.925987
7708.886719	-78.398865
7751.953125	-78.066933
7795.019531	-75.011108
7838.085938	-74.822212
7881.152344	-78.849548
7924.218750	-77.624496
7967.285156	-74.573112
8010.351562	-74.470451
8053.417969	-76.746796
8096.484375	-75.776253
8139.550781	-77.942085
8182.617188	-76.513474
8225.683594	-74.924614
8268.750000	-74.288124
8311.816406	-76.580994
8354.882812	-79.756592
8397.949219	-79.978432
8441.015625	-76.573051
8484.082031	-74.627388
8527.148438	-76.746590
8570.214844	-80.536507
8613.281250	-78.565704
8656.347656	-77.945587
8699.414062	-79.119759
8742.480469	-79.875420
8785.546875	-81.690254
8828.613281	-82.307793
8871.679688	-80.730850
8914.746094	-79.360992
8957.812500	-80.649612
9000.878906	-83.401871
9043.945312	-79.599030
9087.011719	-80.597832
9130.078125	-84.468666
9173.144531	-84.475662
9216.210938	-84.847435
9259.277344	-84.343933
9302.343750	-81.869659
9345.410156	-83.306183
9388.476562	-84.432892
9431.542969	-82.967484
