Frequency (Hz)	Level (dB)
43.066406	-60.466694
86.132812	-63.104599
129.199219	-62.083954
172.265625	-60.563370
215.332031	-57.783195
258.398438	-54.861355
301.464844	-56.634605
344.531250	-57.736851
387.597656	-53.719505
430.664062	-51.351475
473.730469	-48.688148
516.796875	-50.014416
559.863281	-51.342709
602.929688	-50.879059
645.996094	-49.697075
689.062500	-51.165092
732.128906	-52.414219
775.195312	-50.482494
818.261719	-46.518692
861.328125	-45.537941
904.394531	-46.515808
947.460938	-44.667423
990.527344	-41.456268
1033.593750	-42.076736
1076.660156	-44.573437
1119.726562	-44.585892
1162.792969	-41.680237
1205.859375	-40.147041
1248.925781	-43.088520
1291.992188	-48.564743
1335.058594	-51.736008
1378.125000	-49.144505
1421.191406	-50.002213
1464.257812	-54.658901
1507.324219	-54.431232
1550.390625	-54.811741
1593.457031	-58.113575
1636.523438	-58.927475
1679.589844	-58.113621
1722.656250	-56.352726
1765.722656	-58.265034
1808.789062	-56.930592
1851.855469	-54.850357
1894.921875	-53.925781
1937.988281	-55.773235
1981.054688	-57.430420
2024.121094	-59.342445
2067.187500	-57.710354
2110.253906	-56.586670
2153.320312	-58.533035
2196.386719	-59.602203
2239.453125	-58.193836
2282.519531	-60.674152
2325.585938	-66.127815
2368.652344	-64.554253
2411.718750	-64.860443
2454.785156	-68.542168
2497.851562	-66.526314
2540.917969	-65.353683
2583.984375	-65.830742
2627.050781	-64.745728
2670.117188	-67.401382
2713.183594	-68.711075
2756.250000	-67.041054
2799.316406	-67.258339
2842.382812	-67.166100
2885.449219	-68.533394
2928.515625	-67.386543
2971.582031	-68.391373
3014.648438	-66.320290
3057.714844	-66.023750
3100.781250	-66.546967
3143.847656	-65.069717
3186.914062	-64.745499
3229.980469	-62.169273
3273.046875	-61.560482
3316.113281	-64.398926
3359.179688	-62.738586
3402.246094	-61.263893
3445.312500	-64.602699
3488.378906	-65.827744
3531.445312	-62.733448
3574.511719	-61.803524
3617.578125	-64.531563
3660.644531	-67.093918
3703.710938	-68.380661
3746.777344	-67.015129
3789.843750	-67.105057
3832.910156	-65.603317
3875.976562	-65.855560
3919.042969	-69.697464
3962.109375	-70.569359
4005.175781	-68.721992
4048.242188	-68.709305
4091.308594	-69.255569
4134.375000	-69.008888
4177.441406	-70.870255
4220.507812	-72.438164
4263.574219	-71.155128
4306.640625	-69.173988
4349.707031	-67.681747
4392.773438	-69.089378
4435.839844	-71.856659
4478.906250	-73.068901
4521.972656	-72.926109
4565.039062	-74.079529
4608.105469	-71.867348
4651.171875	-69.378899
4694.238281	-67.905205
4737.304688	-69.831146
4780.371094	-70.625221
4823.437500	-70.572800
4866.503906	-72.160667
4909.570312	-72.522255
4952.636719	-70.597916
4995.703125	-67.575798
5038.769531	-64.803192
5081.835938	-64.770271
5124.902344	-68.374222
5167.968750	-70.924553
5211.035156	-69.440300
5254.101562	-69.258858
5297.167969	-66.083900
5340.234375	-67.639610
5383.300781	-68.106262
5426.367188	-65.872917
5469.433594	-68.011978
5512.500000	-68.321251
5555.566406	-68.771492
5598.632812	-72.689613
5641.699219	-71.535347
5684.765625	-69.534973
5727.832031	-70.442154
5770.898438	-72.559937
5813.964844	-72.560577
5857.031250	-71.123940
5900.097656	-71.506210
5943.164062	-69.283829
5986.230469	-69.387672
6029.296875	-73.423035
6072.363281	-73.346245
6115.429688	-71.876251
6158.496094	-72.145187
6201.562500	-77.055229
6244.628906	-77.559669
6287.695312	-74.898834
6330.761719	-75.240524
6373.828125	-74.033401
6416.894531	-74.873581
6459.960938	-78.018066
6503.027344	-75.760956
6546.093750	-72.295059
6589.160156	-74.067070
6632.226562	-76.258965
6675.292969	-77.522667
6718.359375	-78.688377
6761.425781	-76.236603
6804.492188	-75.543839
6847.558594	-74.977547
6890.625000	-75.305405
6933.691406	-75.303612
6976.757812	-73.307381
7019.824219	-74.850739
7062.890625	-74.248459
