Frequency (Hz)	Level (dB)
43.066406	-58.089378
86.132812	-61.301796
129.199219	-61.069595
172.265625	-59.600201
215.332031	-56.713879
258.398438	-55.346272
301.464844	-59.065548
344.531250	-58.870480
387.597656	-56.007191
430.664062	-52.292950
473.730469	-48.992424
516.796875	-49.301914
559.863281	-53.750999
602.929688	-55.144230
645.996094	-54.260059
689.062500	-53.814949
732.128906	-53.426552
775.195312	-53.174191
818.261719	-48.322838
861.328125	-45.937603
904.394531	-48.165871
947.460938	-48.414787
990.527344	-45.967525
1033.593750	-44.387733
1076.660156	-47.930946
1119.726562	-46.460529
1162.792969	-44.977581
1205.859375	-43.651642
1248.925781	-42.295132
1291.992188	-45.426739
1335.058594	-50.149967
1378.125000	-54.441284
1421.191406	-52.588657
1464.257812	-53.071789
1507.324219	-55.976315
1550.390625	-57.448273
1593.457031	-54.820000
1636.523438	-55.745438
1679.589844	-58.823616
1722.656250	-60.654938
1765.722656	-59.925045
1808.789062	-58.573605
1851.855469	-58.602272
1894.921875	-58.389473
1937.988281	-58.439342
1981.054688	-58.427818
2024.121094	-58.586834
2067.187500	-59.605568
2110.253906	-60.535591
2153.320312	-63.655090
2196.386719	-62.547729
2239.453125	-62.878460
2282.519531	-61.053520
2325.585938	-62.681995
2368.652344	-65.205147
2411.718750	-67.729141
2454.785156	-64.896111
2497.851562	-65.300209
2540.917969	-64.580437
2583.984375	-66.704376
2627.050781	-68.318451
2670.117188	-69.238823
2713.183594	-69.413315
2756.250000	-68.578430
2799.316406	-68.321861
2842.382812	-67.759583
2885.449219	-68.534241
2928.515625	-70.126923
2971.582031	-71.543045
3014.648438	-68.762993
3057.714844	-69.389053
3100.781250	-71.458473
3143.847656	-70.018326
3186.914062	-68.898376
3229.980469	-67.164764
3273.046875	-68.318146
3316.113281	-65.776733
3359.179688	-63.393517
3402.246094	-65.887367
3445.312500	-63.181828
3488.378906	-65.123825
3531.445312	-66.881935
3574.511719	-66.274452
3617.578125	-68.256371
3660.644531	-69.005180
3703.710938	-69.444000
3746.777344	-68.946861
3789.843750	-69.100624
3832.910156	-67.499321
3875.976562	-67.925568
3919.042969	-66.502823
3962.109375	-66.925423
4005.175781	-68.550560
4048.242188	-69.518501
